# Unicode Emoji 17.0 机器可读版
# 生成日期: 2026-02-13
# 数据源: emoji-test.txt (官方17.0)
# 字段: 字符	码位序列	状态	版本	名称
# 行数: 包含 fully/minimally/unqualified/component，完全未过滤
🧜🏼	1F9DC 1F3FC	fully-qualified	E5.0	merperson: medium-light skin tone
🧜🏽	1F9DC 1F3FD	fully-qualified	E5.0	merperson: medium skin tone
🧜🏾	1F9DC 1F3FE	fully-qualified	E5.0	merperson: medium-dark skin tone
🧜🏿	1F9DC 1F3FF	fully-qualified	E5.0	merperson: dark skin tone
🧜‍♂️	1F9DC 200D 2642 FE0F	fully-qualified	E5.0	merman
🧜‍♂	1F9DC 200D 2642	minimally-qualified	E5.0	merman
🧜🏻‍♂️	1F9DC 1F3FB 200D 2642 FE0F	fully-qualified	E5.0	merman: light skin tone
🧜🏻‍♂	1F9DC 1F3FB 200D 2642	minimally-qualified	E5.0	merman: light skin tone
🧜🏼‍♂️	1F9DC 1F3FC 200D 2642 FE0F	fully-qualified	E5.0	merman: medium-light skin tone
🧜🏼‍♂	1F9DC 1F3FC 200D 2642	minimally-qualified	E5.0	merman: medium-light skin tone
🧜🏽‍♂️	1F9DC 1F3FD 200D 2642 FE0F	fully-qualified	E5.0	merman: medium skin tone
🧜🏽‍♂	1F9DC 1F3FD 200D 2642	minimally-qualified	E5.0	merman: medium skin tone
🧜🏾‍♂️	1F9DC 1F3FE 200D 2642 FE0F	fully-qualified	E5.0	merman: medium-dark skin tone
🧜🏾‍♂	1F9DC 1F3FE 200D 2642	minimally-qualified	E5.0	merman: medium-dark skin tone
🧜🏿‍♂️	1F9DC 1F3FF 200D 2642 FE0F	fully-qualified	E5.0	merman: dark skin tone
🧜🏿‍♂	1F9DC 1F3FF 200D 2642	minimally-qualified	E5.0	merman: dark skin tone
🧜‍♀️	1F9DC 200D 2640 FE0F	fully-qualified	E5.0	mermaid
🧜‍♀	1F9DC 200D 2640	minimally-qualified	E5.0	mermaid
🧜🏻‍♀️	1F9DC 1F3FB 200D 2640 FE0F	fully-qualified	E5.0	mermaid: light skin tone
🧜🏻‍♀	1F9DC 1F3FB 200D 2640	minimally-qualified	E5.0	mermaid: light skin tone
🧜🏼‍♀️	1F9DC 1F3FC 200D 2640 FE0F	fully-qualified	E5.0	mermaid: medium-light skin tone
🧜🏼‍♀	1F9DC 1F3FC 200D 2640	minimally-qualified	E5.0	mermaid: medium-light skin tone
🧜🏽‍♀️	1F9DC 1F3FD 200D 2640 FE0F	fully-qualified	E5.0	mermaid: medium skin tone
🧜🏽‍♀	1F9DC 1F3FD 200D 2640	minimally-qualified	E5.0	mermaid: medium skin tone
🧜🏾‍♀️	1F9DC 1F3FE 200D 2640 FE0F	fully-qualified	E5.0	mermaid: medium-dark skin tone
🧜🏾‍♀	1F9DC 1F3FE 200D 2640	minimally-qualified	E5.0	mermaid: medium-dark skin tone
🧜🏿‍♀️	1F9DC 1F3FF 200D 2640 FE0F	fully-qualified	E5.0	mermaid: dark skin tone
🧜🏿‍♀	1F9DC 1F3FF 200D 2640	minimally-qualified	E5.0	mermaid: dark skin tone
🧝	1F9DD	fully-qualified	E5.0	elf
🧝🏻	1F9DD 1F3FB	fully-qualified	E5.0	elf: light skin tone
🧝🏼	1F9DD 1F3FC	fully-qualified	E5.0	elf: medium-light skin tone
🧝🏽	1F9DD 1F3FD	fully-qualified	E5.0	elf: medium skin tone
🧝🏾	1F9DD 1F3FE	fully-qualified	E5.0	elf: medium-dark skin tone
🧝🏿	1F9DD 1F3FF	fully-qualified	E5.0	elf: dark skin tone
🧝‍♂️	1F9DD 200D 2642 FE0F	fully-qualified	E5.0	man elf
🧝‍♂	1F9DD 200D 2642	minimally-qualified	E5.0	man elf
🧝🏻‍♂️	1F9DD 1F3FB 200D 2642 FE0F	fully-qualified	E5.0	man elf: light skin tone
🧝🏻‍♂	1F9DD 1F3FB 200D 2642	minimally-qualified	E5.0	man elf: light skin tone
🧝🏼‍♂️	1F9DD 1F3FC 200D 2642 FE0F	fully-qualified	E5.0	man elf: medium-light skin tone
🧝🏼‍♂	1F9DD 1F3FC 200D 2642	minimally-qualified	E5.0	man elf: medium-light skin tone
🧝🏽‍♂️	1F9DD 1F3FD 200D 2642 FE0F	fully-qualified	E5.0	man elf: medium skin tone
🧝🏽‍♂	1F9DD 1F3FD 200D 2642	minimally-qualified	E5.0	man elf: medium skin tone
🧝🏾‍♂️	1F9DD 1F3FE 200D 2642 FE0F	fully-qualified	E5.0	man elf: medium-dark skin tone
🧝🏾‍♂	1F9DD 1F3FE 200D 2642	minimally-qualified	E5.0	man elf: medium-dark skin tone
🧝🏿‍♂️	1F9DD 1F3FF 200D 2642 FE0F	fully-qualified	E5.0	man elf: dark skin tone
🧝🏿‍♂	1F9DD 1F3FF 200D 2642	minimally-qualified	E5.0	man elf: dark skin tone
🧝‍♀️	1F9DD 200D 2640 FE0F	fully-qualified	E5.0	woman elf
🧝‍♀	1F9DD 200D 2640	minimally-qualified	E5.0	woman elf
🧝🏻‍♀️	1F9DD 1F3FB 200D 2640 FE0F	fully-qualified	E5.0	woman elf: light skin tone
🧝🏻‍♀	1F9DD 1F3FB 200D 2640	minimally-qualified	E5.0	woman elf: light skin tone
🧝🏼‍♀️	1F9DD 1F3FC 200D 2640 FE0F	fully-qualified	E5.0	woman elf: medium-light skin tone
🧝🏼‍♀	1F9DD 1F3FC 200D 2640	minimally-qualified	E5.0	woman elf: medium-light skin tone
🧝🏽‍♀️	1F9DD 1F3FD 200D 2640 FE0F	fully-qualified	E5.0	woman elf: medium skin tone
🧝🏽‍♀	1F9DD 1F3FD 200D 2640	minimally-qualified	E5.0	woman elf: medium skin tone
🧝🏾‍♀️	1F9DD 1F3FE 200D 2640 FE0F	fully-qualified	E5.0	woman elf: medium-dark skin tone
🧝🏾‍♀	1F9DD 1F3FE 200D 2640	minimally-qualified	E5.0	woman elf: medium-dark skin tone
🧝🏿‍♀️	1F9DD 1F3FF 200D 2640 FE0F	fully-qualified	E5.0	woman elf: dark skin tone
🧝🏿‍♀	1F9DD 1F3FF 200D 2640	minimally-qualified	E5.0	woman elf: dark skin tone
🧞	1F9DE	fully-qualified	E5.0	genie
🧞‍♂️	1F9DE 200D 2642 FE0F	fully-qualified	E5.0	man genie
🧞‍♂	1F9DE 200D 2642	minimally-qualified	E5.0	man genie
🧞‍♀️	1F9DE 200D 2640 FE0F	fully-qualified	E5.0	woman genie
🧞‍♀	1F9DE 200D 2640	minimally-qualified	E5.0	woman genie
🧟	1F9DF	fully-qualified	E5.0	zombie
🧟‍♂️	1F9DF 200D 2642 FE0F	fully-qualified	E5.0	man zombie
🧟‍♂	1F9DF 200D 2642	minimally-qualified	E5.0	man zombie
🧟‍♀️	1F9DF 200D 2640 FE0F	fully-qualified	E5.0	woman zombie
🧟‍♀	1F9DF 200D 2640	minimally-qualified	E5.0	woman zombie
🧌	1F9CC	fully-qualified	E14.0	troll
🫈	1FAC8	fully-qualified	E17.0	hairy creature
💆	1F486	fully-qualified	E0.6	person getting massage
💆🏻	1F486 1F3FB	fully-qualified	E1.0	person getting massage: light skin tone
💆🏼	1F486 1F3FC	fully-qualified	E1.0	person getting massage: medium-light skin tone
💆🏽	1F486 1F3FD	fully-qualified	E1.0	person getting massage: medium skin tone
💆🏾	1F486 1F3FE	fully-qualified	E1.0	person getting massage: medium-dark skin tone
💆🏿	1F486 1F3FF	fully-qualified	E1.0	person getting massage: dark skin tone
💆‍♂️	1F486 200D 2642 FE0F	fully-qualified	E4.0	man getting massage
💆‍♂	1F486 200D 2642	minimally-qualified	E4.0	man getting massage
💆🏻‍♂️	1F486 1F3FB 200D 2642 FE0F	fully-qualified	E4.0	man getting massage: light skin tone
💆🏻‍♂	1F486 1F3FB 200D 2642	minimally-qualified	E4.0	man getting massage: light skin tone
💆🏼‍♂️	1F486 1F3FC 200D 2642 FE0F	fully-qualified	E4.0	man getting massage: medium-light skin tone
💆🏼‍♂	1F486 1F3FC 200D 2642	minimally-qualified	E4.0	man getting massage: medium-light skin tone
💆🏽‍♂️	1F486 1F3FD 200D 2642 FE0F	fully-qualified	E4.0	man getting massage: medium skin tone
💆🏽‍♂	1F486 1F3FD 200D 2642	minimally-qualified	E4.0	man getting massage: medium skin tone
💆🏾‍♂️	1F486 1F3FE 200D 2642 FE0F	fully-qualified	E4.0	man getting massage: medium-dark skin tone
💆🏾‍♂	1F486 1F3FE 200D 2642	minimally-qualified	E4.0	man getting massage: medium-dark skin tone
💆🏿‍♂️	1F486 1F3FF 200D 2642 FE0F	fully-qualified	E4.0	man getting massage: dark skin tone
💆🏿‍♂	1F486 1F3FF 200D 2642	minimally-qualified	E4.0	man getting massage: dark skin tone
💆‍♀️	1F486 200D 2640 FE0F	fully-qualified	E4.0	woman getting massage
💆‍♀	1F486 200D 2640	minimally-qualified	E4.0	woman getting massage
💆🏻‍♀️	1F486 1F3FB 200D 2640 FE0F	fully-qualified	E4.0	woman getting massage: light skin tone
💆🏻‍♀	1F486 1F3FB 200D 2640	minimally-qualified	E4.0	woman getting massage: light skin tone
💆🏼‍♀️	1F486 1F3FC 200D 2640 FE0F	fully-qualified	E4.0	woman getting massage: medium-light skin tone
💆🏼‍♀	1F486 1F3FC 200D 2640	minimally-qualified	E4.0	woman getting massage: medium-light skin tone
💆🏽‍♀️	1F486 1F3FD 200D 2640 FE0F	fully-qualified	E4.0	woman getting massage: medium skin tone
💆🏽‍♀	1F486 1F3FD 200D 2640	minimally-qualified	E4.0	woman getting massage: medium skin tone
💆🏾‍♀️	1F486 1F3FE 200D 2640 FE0F	fully-qualified	E4.0	woman getting massage: medium-dark skin tone
💆🏾‍♀	1F486 1F3FE 200D 2640	minimally-qualified	E4.0	woman getting massage: medium-dark skin tone
💆🏿‍♀️	1F486 1F3FF 200D 2640 FE0F	fully-qualified	E4.0	woman getting massage: dark skin tone
💆🏿‍♀	1F486 1F3FF 200D 2640	minimally-qualified	E4.0	woman getting massage: dark skin tone
💇	1F487	fully-qualified	E0.6	person getting haircut
💇🏻	1F487 1F3FB	fully-qualified	E1.0	person getting haircut: light skin tone
💇🏼	1F487 1F3FC	fully-qualified	E1.0	person getting haircut: medium-light skin tone
💇🏽	1F487 1F3FD	fully-qualified	E1.0	person getting haircut: medium skin tone
💇🏾	1F487 1F3FE	fully-qualified	E1.0	person getting haircut: medium-dark skin tone
💇🏿	1F487 1F3FF	fully-qualified	E1.0	person getting haircut: dark skin tone
💇‍♂️	1F487 200D 2642 FE0F	fully-qualified	E4.0	man getting haircut
💇‍♂	1F487 200D 2642	minimally-qualified	E4.0	man getting haircut
💇🏻‍♂️	1F487 1F3FB 200D 2642 FE0F	fully-qualified	E4.0	man getting haircut: light skin tone
💇🏻‍♂	1F487 1F3FB 200D 2642	minimally-qualified	E4.0	man getting haircut: light skin tone
💇🏼‍♂️	1F487 1F3FC 200D 2642 FE0F	fully-qualified	E4.0	man getting haircut: medium-light skin tone
💇🏼‍♂	1F487 1F3FC 200D 2642	minimally-qualified	E4.0	man getting haircut: medium-light skin tone
💇🏽‍♂️	1F487 1F3FD 200D 2642 FE0F	fully-qualified	E4.0	man getting haircut: medium skin tone
💇🏽‍♂	1F487 1F3FD 200D 2642	minimally-qualified	E4.0	man getting haircut: medium skin tone
💇🏾‍♂️	1F487 1F3FE 200D 2642 FE0F	fully-qualified	E4.0	man getting haircut: medium-dark skin tone
💇🏾‍♂	1F487 1F3FE 200D 2642	minimally-qualified	E4.0	man getting haircut: medium-dark skin tone
💇🏿‍♂️	1F487 1F3FF 200D 2642 FE0F	fully-qualified	E4.0	man getting haircut: dark skin tone
💇🏿‍♂	1F487 1F3FF 200D 2642	minimally-qualified	E4.0	man getting haircut: dark skin tone
💇‍♀️	1F487 200D 2640 FE0F	fully-qualified	E4.0	woman getting haircut
💇‍♀	1F487 200D 2640	minimally-qualified	E4.0	woman getting haircut
💇🏻‍♀️	1F487 1F3FB 200D 2640 FE0F	fully-qualified	E4.0	woman getting haircut: light skin tone
💇🏻‍♀	1F487 1F3FB 200D 2640	minimally-qualified	E4.0	woman getting haircut: light skin tone
💇🏼‍♀️	1F487 1F3FC 200D 2640 FE0F	fully-qualified	E4.0	woman getting haircut: medium-light skin tone
💇🏼‍♀	1F487 1F3FC 200D 2640	minimally-qualified	E4.0	woman getting haircut: medium-light skin tone
💇🏽‍♀️	1F487 1F3FD 200D 2640 FE0F	fully-qualified	E4.0	woman getting haircut: medium skin tone
💇🏽‍♀	1F487 1F3FD 200D 2640	minimally-qualified	E4.0	woman getting haircut: medium skin tone
💇🏾‍♀️	1F487 1F3FE 200D 2640 FE0F	fully-qualified	E4.0	woman getting haircut: medium-dark skin tone
💇🏾‍♀	1F487 1F3FE 200D 2640	minimally-qualified	E4.0	woman getting haircut: medium-dark skin tone
💇🏿‍♀️	1F487 1F3FF 200D 2640 FE0F	fully-qualified	E4.0	woman getting haircut: dark skin tone
💇🏿‍♀	1F487 1F3FF 200D 2640	minimally-qualified	E4.0	woman getting haircut: dark skin tone
🚶	1F6B6	fully-qualified	E0.6	person walking
🚶🏻	1F6B6 1F3FB	fully-qualified	E1.0	person walking: light skin tone
🚶🏼	1F6B6 1F3FC	fully-qualified	E1.0	person walking: medium-light skin tone
🚶🏽	1F6B6 1F3FD	fully-qualified	E1.0	person walking: medium skin tone
🚶🏾	1F6B6 1F3FE	fully-qualified	E1.0	person walking: medium-dark skin tone
🚶🏿	1F6B6 1F3FF	fully-qualified	E1.0	person walking: dark skin tone
🚶‍♂️	1F6B6 200D 2642 FE0F	fully-qualified	E4.0	man walking
🚶‍♂	1F6B6 200D 2642	minimally-qualified	E4.0	man walking
🚶🏻‍♂️	1F6B6 1F3FB 200D 2642 FE0F	fully-qualified	E4.0	man walking: light skin tone
🚶🏻‍♂	1F6B6 1F3FB 200D 2642	minimally-qualified	E4.0	man walking: light skin tone
🚶🏼‍♂️	1F6B6 1F3FC 200D 2642 FE0F	fully-qualified	E4.0	man walking: medium-light skin tone
🚶🏼‍♂	1F6B6 1F3FC 200D 2642	minimally-qualified	E4.0	man walking: medium-light skin tone
🚶🏽‍♂️	1F6B6 1F3FD 200D 2642 FE0F	fully-qualified	E4.0	man walking: medium skin tone
🚶🏽‍♂	1F6B6 1F3FD 200D 2642	minimally-qualified	E4.0	man walking: medium skin tone
🚶🏾‍♂️	1F6B6 1F3FE 200D 2642 FE0F	fully-qualified	E4.0	man walking: medium-dark skin tone
🚶🏾‍♂	1F6B6 1F3FE 200D 2642	minimally-qualified	E4.0	man walking: medium-dark skin tone
🚶🏿‍♂️	1F6B6 1F3FF 200D 2642 FE0F	fully-qualified	E4.0	man walking: dark skin tone
🚶🏿‍♂	1F6B6 1F3FF 200D 2642	minimally-qualified	E4.0	man walking: dark skin tone
🚶‍♀️	1F6B6 200D 2640 FE0F	fully-qualified	E4.0	woman walking
🚶‍♀	1F6B6 200D 2640	minimally-qualified	E4.0	woman walking
🚶🏻‍♀️	1F6B6 1F3FB 200D 2640 FE0F	fully-qualified	E4.0	woman walking: light skin tone
🚶🏻‍♀	1F6B6 1F3FB 200D 2640	minimally-qualified	E4.0	woman walking: light skin tone
🚶🏼‍♀️	1F6B6 1F3FC 200D 2640 FE0F	fully-qualified	E4.0	woman walking: medium-light skin tone
🚶🏼‍♀	1F6B6 1F3FC 200D 2640	minimally-qualified	E4.0	woman walking: medium-light skin tone
🚶🏽‍♀️	1F6B6 1F3FD 200D 2640 FE0F	fully-qualified	E4.0	woman walking: medium skin tone
🚶🏽‍♀	1F6B6 1F3FD 200D 2640	minimally-qualified	E4.0	woman walking: medium skin tone
🚶🏾‍♀️	1F6B6 1F3FE 200D 2640 FE0F	fully-qualified	E4.0	woman walking: medium-dark skin tone
🚶🏾‍♀	1F6B6 1F3FE 200D 2640	minimally-qualified	E4.0	woman walking: medium-dark skin tone
🚶🏿‍♀️	1F6B6 1F3FF 200D 2640 FE0F	fully-qualified	E4.0	woman walking: dark skin tone
🚶🏿‍♀	1F6B6 1F3FF 200D 2640	minimally-qualified	E4.0	woman walking: dark skin tone
🚶‍➡️	1F6B6 200D 27A1 FE0F	fully-qualified	E15.1	person walking facing right
🚶‍➡	1F6B6 200D 27A1	minimally-qualified	E15.1	person walking facing right
🚶🏻‍➡️	1F6B6 1F3FB 200D 27A1 FE0F	fully-qualified	E15.1	person walking facing right: light skin tone
🚶🏻‍➡	1F6B6 1F3FB 200D 27A1	minimally-qualified	E15.1	person walking facing right: light skin tone
🚶🏼‍➡️	1F6B6 1F3FC 200D 27A1 FE0F	fully-qualified	E15.1	person walking facing right: medium-light skin tone
🚶🏼‍➡	1F6B6 1F3FC 200D 27A1	minimally-qualified	E15.1	person walking facing right: medium-light skin tone
🚶🏽‍➡️	1F6B6 1F3FD 200D 27A1 FE0F	fully-qualified	E15.1	person walking facing right: medium skin tone
🚶🏽‍➡	1F6B6 1F3FD 200D 27A1	minimally-qualified	E15.1	person walking facing right: medium skin tone
🚶🏾‍➡️	1F6B6 1F3FE 200D 27A1 FE0F	fully-qualified	E15.1	person walking facing right: medium-dark skin tone
🚶🏾‍➡	1F6B6 1F3FE 200D 27A1	minimally-qualified	E15.1	person walking facing right: medium-dark skin tone
🚶🏿‍➡️	1F6B6 1F3FF 200D 27A1 FE0F	fully-qualified	E15.1	person walking facing right: dark skin tone
🚶🏿‍➡	1F6B6 1F3FF 200D 27A1	minimally-qualified	E15.1	person walking facing right: dark skin tone
🚶‍♀️‍➡️	1F6B6 200D 2640 FE0F 200D 27A1 FE0F	fully-qualified	E15.1	woman walking facing right
🚶‍♀‍➡️	1F6B6 200D 2640 200D 27A1 FE0F	minimally-qualified	E15.1	woman walking facing right
🚶‍♀️‍➡	1F6B6 200D 2640 FE0F 200D 27A1	minimally-qualified	E15.1	woman walking facing right
🚶‍♀‍➡	1F6B6 200D 2640 200D 27A1	minimally-qualified	E15.1	woman walking facing right
🚶🏻‍♀️‍➡️	1F6B6 1F3FB 200D 2640 FE0F 200D 27A1 FE0F	fully-qualified	E15.1	woman walking facing right: light skin tone
🚶🏻‍♀‍➡️	1F6B6 1F3FB 200D 2640 200D 27A1 FE0F	minimally-qualified	E15.1	woman walking facing right: light skin tone
🚶🏻‍♀️‍➡	1F6B6 1F3FB 200D 2640 FE0F 200D 27A1	minimally-qualified	E15.1	woman walking facing right: light skin tone
🚶🏻‍♀‍➡	1F6B6 1F3FB 200D 2640 200D 27A1	minimally-qualified	E15.1	woman walking facing right: light skin tone
🚶🏼‍♀️‍➡️	1F6B6 1F3FC 200D 2640 FE0F 200D 27A1 FE0F	fully-qualified	E15.1	woman walking facing right: medium-light skin tone
🚶🏼‍♀‍➡️	1F6B6 1F3FC 200D 2640 200D 27A1 FE0F	minimally-qualified	E15.1	woman walking facing right: medium-light skin tone
🚶🏼‍♀️‍➡	1F6B6 1F3FC 200D 2640 FE0F 200D 27A1	minimally-qualified	E15.1	woman walking facing right: medium-light skin tone
🚶🏼‍♀‍➡	1F6B6 1F3FC 200D 2640 200D 27A1	minimally-qualified	E15.1	woman walking facing right: medium-light skin tone
🚶🏽‍♀️‍➡️	1F6B6 1F3FD 200D 2640 FE0F 200D 27A1 FE0F	fully-qualified	E15.1	woman walking facing right: medium skin tone
🚶🏽‍♀‍➡️	1F6B6 1F3FD 200D 2640 200D 27A1 FE0F	minimally-qualified	E15.1	woman walking facing right: medium skin tone
🚶🏽‍♀️‍➡	1F6B6 1F3FD 200D 2640 FE0F 200D 27A1	minimally-qualified	E15.1	woman walking facing right: medium skin tone
🚶🏽‍♀‍➡	1F6B6 1F3FD 200D 2640 200D 27A1	minimally-qualified	E15.1	woman walking facing right: medium skin tone
🚶🏾‍♀️‍➡️	1F6B6 1F3FE 200D 2640 FE0F 200D 27A1 FE0F	fully-qualified	E15.1	woman walking facing right: medium-dark skin tone
🚶🏾‍♀‍➡️	1F6B6 1F3FE 200D 2640 200D 27A1 FE0F	minimally-qualified	E15.1	woman walking facing right: medium-dark skin tone
🚶🏾‍♀️‍➡	1F6B6 1F3FE 200D 2640 FE0F 200D 27A1	minimally-qualified	E15.1	woman walking facing right: medium-dark skin tone
🚶🏾‍♀‍➡	1F6B6 1F3FE 200D 2640 200D 27A1	minimally-qualified	E15.1	woman walking facing right: medium-dark skin tone
🚶🏿‍♀️‍➡️	1F6B6 1F3FF 200D 2640 FE0F 200D 27A1 FE0F	fully-qualified	E15.1	woman walking facing right: dark skin tone
🚶🏿‍♀‍➡️	1F6B6 1F3FF 200D 2640 200D 27A1 FE0F	minimally-qualified	E15.1	woman walking facing right: dark skin tone
🚶🏿‍♀️‍➡	1F6B6 1F3FF 200D 2640 FE0F 200D 27A1	minimally-qualified	E15.1	woman walking facing right: dark skin tone
🚶🏿‍♀‍➡	1F6B6 1F3FF 200D 2640 200D 27A1	minimally-qualified	E15.1	woman walking facing right: dark skin tone
🚶‍♂️‍➡️	1F6B6 200D 2642 FE0F 200D 27A1 FE0F	fully-qualified	E15.1	man walking facing right
🚶‍♂‍➡️	1F6B6 200D 2642 200D 27A1 FE0F	minimally-qualified	E15.1	man walking facing right
🚶‍♂️‍➡	1F6B6 200D 2642 FE0F 200D 27A1	minimally-qualified	E15.1	man walking facing right
🚶‍♂‍➡	1F6B6 200D 2642 200D 27A1	minimally-qualified	E15.1	man walking facing right
🚶🏻‍♂️‍➡️	1F6B6 1F3FB 200D 2642 FE0F 200D 27A1 FE0F	fully-qualified	E15.1	man walking facing right: light skin tone
🚶🏻‍♂‍➡️	1F6B6 1F3FB 200D 2642 200D 27A1 FE0F	minimally-qualified	E15.1	man walking facing right: light skin tone
🚶🏻‍♂️‍➡	1F6B6 1F3FB 200D 2642 FE0F 200D 27A1	minimally-qualified	E15.1	man walking facing right: light skin tone
🚶🏻‍♂‍➡	1F6B6 1F3FB 200D 2642 200D 27A1	minimally-qualified	E15.1	man walking facing right: light skin tone
🚶🏼‍♂️‍➡️	1F6B6 1F3FC 200D 2642 FE0F 200D 27A1 FE0F	fully-qualified	E15.1	man walking facing right: medium-light skin tone
🚶🏼‍♂‍➡️	1F6B6 1F3FC 200D 2642 200D 27A1 FE0F	minimally-qualified	E15.1	man walking facing right: medium-light skin tone
🚶🏼‍♂️‍➡	1F6B6 1F3FC 200D 2642 FE0F 200D 27A1	minimally-qualified	E15.1	man walking facing right: medium-light skin tone
🚶🏼‍♂‍➡	1F6B6 1F3FC 200D 2642 200D 27A1	minimally-qualified	E15.1	man walking facing right: medium-light skin tone
🚶🏽‍♂️‍➡️	1F6B6 1F3FD 200D 2642 FE0F 200D 27A1 FE0F	fully-qualified	E15.1	man walking facing right: medium skin tone
🚶🏽‍♂‍➡️	1F6B6 1F3FD 200D 2642 200D 27A1 FE0F	minimally-qualified	E15.1	man walking facing right: medium skin tone
🚶🏽‍♂️‍➡	1F6B6 1F3FD 200D 2642 FE0F 200D 27A1	minimally-qualified	E15.1	man walking facing right: medium skin tone
🚶🏽‍♂‍➡	1F6B6 1F3FD 200D 2642 200D 27A1	minimally-qualified	E15.1	man walking facing right: medium skin tone
🚶🏾‍♂️‍➡️	1F6B6 1F3FE 200D 2642 FE0F 200D 27A1 FE0F	fully-qualified	E15.1	man walking facing right: medium-dark skin tone
🚶🏾‍♂‍➡️	1F6B6 1F3FE 200D 2642 200D 27A1 FE0F	minimally-qualified	E15.1	man walking facing right: medium-dark skin tone
🚶🏾‍♂️‍➡	1F6B6 1F3FE 200D 2642 FE0F 200D 27A1	minimally-qualified	E15.1	man walking facing right: medium-dark skin tone
🚶🏾‍♂‍➡	1F6B6 1F3FE 200D 2642 200D 27A1	minimally-qualified	E15.1	man walking facing right: medium-dark skin tone
🚶🏿‍♂️‍➡️	1F6B6 1F3FF 200D 2642 FE0F 200D 27A1 FE0F	fully-qualified	E15.1	man walking facing right: dark skin tone
🚶🏿‍♂‍➡️	1F6B6 1F3FF 200D 2642 200D 27A1 FE0F	minimally-qualified	E15.1	man walking facing right: dark skin tone
🚶🏿‍♂️‍➡	1F6B6 1F3FF 200D 2642 FE0F 200D 27A1	minimally-qualified	E15.1	man walking facing right: dark skin tone
🚶🏿‍♂‍➡	1F6B6 1F3FF 200D 2642 200D 27A1	minimally-qualified	E15.1	man walking facing right: dark skin tone
🧍	1F9CD	fully-qualified	E12.0	person standing
🧍🏻	1F9CD 1F3FB	fully-qualified	E12.0	person standing: light skin tone
🧍🏼	1F9CD 1F3FC	fully-qualified	E12.0	person standing: medium-light skin tone
